INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../sgm_kernel-tb.cpp in debug mode
   Compiling ../../../sgm_kernel.cpp in debug mode
   Generating csim.exe
Descriptor decimal = 240
Descriptor binary  = 11110000
Frame 000000, D1 = 32.338 %, MAE = 3.16838 px, Bad1 = 69.5869 %, Bad3 = 29.0064 %
Frame 000001, D1 = 34.4151 %, MAE = 2.98937 px, Bad1 = 69.119 %, Bad3 = 29.2138 %
Frame 000002, D1 = 44.4179 %, MAE = 4.2681 px, Bad1 = 74.6756 %, Bad3 = 41.7227 %
Frame 000003, D1 = 35.2373 %, MAE = 3.87226 px, Bad1 = 71.0887 %, Bad3 = 32.4889 %
Frame 000004, D1 = 39.6181 %, MAE = 4.78622 px, Bad1 = 72.4356 %, Bad3 = 38.271 %
Frame 000005, D1 = 38.267 %, MAE = 4.11477 px, Bad1 = 66.2278 %, Bad3 = 36.2859 %
Frame 000006, D1 = 43.976 %, MAE = 5.64995 px, Bad1 = 74.3465 %, Bad3 = 43.7374 %
Frame 000007, D1 = 31.3628 %, MAE = 2.56593 px, Bad1 = 70.0451 %, Bad3 = 27.4737 %
Frame 000008, D1 = 25.646 %, MAE = 2.64577 px, Bad1 = 67.0863 %, Bad3 = 24.0405 %
Frame 000009, D1 = 30.8209 %, MAE = 2.79032 px, Bad1 = 62.6342 %, Bad3 = 27.5503 %
Frame 000010, D1 = 33.4839 %, MAE = 2.8638 px, Bad1 = 67.2257 %, Bad3 = 29.7962 %
Frame 000011, D1 = 34.802 %, MAE = 3.41401 px, Bad1 = 67.3017 %, Bad3 = 31.3152 %
Frame 000012, D1 = 36.0596 %, MAE = 3.85964 px, Bad1 = 67.9413 %, Bad3 = 31.6866 %
Frame 000013, D1 = 36.455 %, MAE = 2.97363 px, Bad1 = 72.8986 %, Bad3 = 33.4338 %
Frame 000014, D1 = 35.3263 %, MAE = 2.82656 px, Bad1 = 71.4137 %, Bad3 = 32.2553 %
Frame 000015, D1 = 33.679 %, MAE = 2.82762 px, Bad1 = 74.8347 %, Bad3 = 30.5451 %
Frame 000016, D1 = 33.0686 %, MAE = 2.69439 px, Bad1 = 73.6336 %, Bad3 = 30.2865 %
Frame 000017, D1 = 38.5586 %, MAE = 2.8346 px, Bad1 = 71.94 %, Bad3 = 29.1917 %
Frame 000018, D1 = 32.2951 %, MAE = 4.38292 px, Bad1 = 72.6505 %, Bad3 = 29.5244 %
Frame 000019, D1 = 31.9424 %, MAE = 3.58054 px, Bad1 = 71.9325 %, Bad3 = 28.4805 %
Frame 000020, D1 = 41.8133 %, MAE = 5.67935 px, Bad1 = 74.3958 %, Bad3 = 40.2697 %
Frame 000021, D1 = 31.7333 %, MAE = 4.05009 px, Bad1 = 69.9584 %, Bad3 = 27.8138 %
Frame 000022, D1 = 37.543 %, MAE = 4.08081 px, Bad1 = 70.7303 %, Bad3 = 35.6635 %
Frame 000023, D1 = 34.7034 %, MAE = 3.99585 px, Bad1 = 69.3719 %, Bad3 = 31.8371 %
Frame 000024, D1 = 28.0504 %, MAE = 2.77481 px, Bad1 = 68.6534 %, Bad3 = 26.9316 %
Frame 000025, D1 = 29.6152 %, MAE = 2.63236 px, Bad1 = 69.9181 %, Bad3 = 24.6097 %
Frame 000026, D1 = 32.0975 %, MAE = 2.78728 px, Bad1 = 70.1792 %, Bad3 = 29.4868 %
Frame 000027, D1 = 31.059 %, MAE = 2.62723 px, Bad1 = 69.2285 %, Bad3 = 28.3282 %
Frame 000028, D1 = 32.8556 %, MAE = 2.8921 px, Bad1 = 70.8752 %, Bad3 = 28.7661 %
Frame 000029, D1 = 37.1202 %, MAE = 3.54769 px, Bad1 = 73.3715 %, Bad3 = 34.4256 %
Frame 000030, D1 = 32.5019 %, MAE = 3.05676 px, Bad1 = 70.8959 %, Bad3 = 30.1469 %
